time,x,y,z,phi,theta,psi,x_velocity,y_velocity,z_velocity,phi_velocity,theta_velocity,psi_velocity,rotor_speed1,rotor_speed2,rotor_speed3,rotor_speed4
0.06,6.37546948809e-08,5.28017131836e-07,10.0044068766,0.000422372631552,6.28286415235,0.0,1.63095352634e-05,4.36583594527e-05,0.146887565425,0.0183217247089,-0.0190974925333,0.0,452.6932948366716,451.154325168644,450.3987747136402,451.87779742686706
0.12000000000000001,1.21435475619e-05,1.63529779563e-05,10.0166055505,0.00111445664021,6.28184912003,0.0,0.000498275874068,0.000582750670757,0.259715108675,-0.00766839866778,-0.0128791148958,0.0,441.0755480399781,441.5887857696554,441.71165634827815,439.5634072674751
0.18,7.61433722499e-05,7.50734745026e-05,10.0376294667,0.0006305931473,6.28114633976,0.0,0.00171900750038,0.00132072698788,0.441028948426,-0.00886839556552,-0.0094772453726,0.0,462.5156326855255,462.78356226074,461.54784119273955,461.4532594443303
0.23999999999999996,0.000227018147205,0.000166042619008,10.0686563132,6.28306602347,6.28044394806,0.0,0.00337927504824,0.00164255237858,0.593131972193,-0.0209791274343,-0.0165861780385,0.0,453.35351501485616,452.78216607826556,454.1342207097654,453.16202326305483
0.3,0.000495538659081,0.000256575039455,10.1092108186,6.28174059668,6.27979834245,0.0,0.00566053574497,0.00123101541622,0.758588901071,-0.0244109969747,-0.00110518078044,0.0,456.9053172684882,458.13780500541225,457.78778722226855,457.5146621069106
0.36000000000000004,0.000897351072159,0.000299007116164,10.1553373533,6.28008471866,6.27948484778,0.0,0.00774882160679,4.34772424276e-05,0.77894811195,-0.0348849846723,-0.0150958676814,0.0,411.5314796926174,410.2914674607876,412.4689492202569,411.54275552913015
0.4200000000000001,0.0014384773635,0.000232991762486,10.2040992366,6.2780348257,6.278263203,0.0,0.0103890732106,-0.00244510302249,0.846398911541,-0.03276252311,-0.0338067104745,0.0,426.7726922407019,425.1728085134457,428.1042319630521,428.28423583379845
0.48000000000000015,0.00217928411076,-3.54240031624e-05,10.2593807032,6.27553081504,6.27607856985,0.0,0.0145336101887,-0.00673073622432,0.996195078667,-0.0734885545928,-0.04220464508,0.0,453.9311757027414,453.2562604763665,454.39191969446557,451.1143269590308
0.5400000000000001,0.00322391714339,-0.000632622623933,10.3243082001,6.27091772323,6.27374551954,0.0,0.0205594315768,-0.013681338568,1.16788811677,-0.0847252206978,-0.032957390269,0.0,459.4938181623259,460.2255157690414,460.80523347123017,459.9116996701677
0.6000000000000002,0.0046838096422,-0.00175804390328,10.3997930115,6.26601183497,6.27148434795,0.0,0.0283404913555,-0.0243981513818,1.34806658893,-0.076422017691,-0.0493918471732,0.0,463.1790170597382,461.884182011391,463.20644189914384,463.85373131378185
0.6600000000000003,0.00665989380599,-0.00362832772193,10.4855607339,6.26119948614,6.26893218577,0.0,0.0378304106582,-0.0384622226236,1.51064269267,-0.0891095733334,-0.0314965806748,0.0,456.978264400675,458.40136012948807,459.15046985005216,458.1378515500061
0.7200000000000003,0.00923905902091,-0.00642305155139,10.5797299907,6.25570739947,6.26721377478,0.0,0.0483275460218,-0.0552577412657,1.62815531399,-0.0968852727716,-0.0234657241994,0.0,444.21942949680243,444.8771875592705,445.2837135938969,444.64014258796067
0.7800000000000004,0.0124886949432,-0.0103552523122,10.6813651507,6.25017455581,6.26642571313,0.0,0.0601017527928,-0.0764135087418,1.75946957068,-0.0842155199695,0.00208665071291,0.0,448.3446015630033,450.41576757660505,448.98496043214317,450.00447450424775
0.8400000000000004,0.0164889899431,-0.0157392092245,10.7928170396,6.24538915988,6.26658922239,0.0,0.0732191749192,-0.10361107784,1.95525803615,-0.0720725332959,0.0039726120303,0.0,469.3759424501616,469.52221665982256,468.9328745259168,469.87032328932094
0.9000000000000005,0.0212034758594,-0.022705684492,10.9118895523,6.24072032094,6.26705538248,0.0,0.0838937929579,-0.129028477646,2.01370593526,-0.0929049151768,0.0144484214761,0.0,426.2232042702112,427.1174225439145,429.21431350438303,427.4374365460785
0.9600000000000005,0.0265353865639,-0.0312594728748,11.0337160305,6.23542490244,6.26779165858,0.0,0.0937610286365,-0.156594957262,2.04709355944,-0.0802925889054,0.00751663829454,0.0,419.83648143095564,419.23453931563716,418.9796612181453,420.06764736902795
1.0200000000000005,0.0324740599286,-0.041651195493,11.1593440469,6.23093744061,6.26865111983,0.0,0.104122904581,-0.190255886184,2.14031106463,-0.0655940057424,0.0253031261549,0.0,438.230891894795,439.7067000157551,438.6931802397886,439.90736699625165
1.0800000000000005,0.0390887533641,-0.0544337428045,11.2958812312,6.22673718734,6.27046529129,0.0,0.116144875382,-0.236316287584,2.41036894035,-0.0807279382253,0.0386224771037,0.0,491.9259053952896,492.91134563569267,493.0908306343267,491.96830754111903
1.1400000000000006,0.0462655479562,-0.0695847996296,11.4397691802,6.22170191991,6.27247051347,0.0,0.12289841041,-0.269134779274,2.38592081499,-0.0912202510433,0.020186173839,0.0,402.4676879047906,400.79614451751655,402.46331329162854,401.50590208192534
1.2000000000000006,0.0538614619582,-0.0870625845378,11.5865060879,6.2163182626,6.27431579058,0.0,0.130129164333,-0.314011795398,2.50501390042,-0.086899943753,0.0462344070354,0.0,448.3405343741458,450.45214922734004,448.16106985882794,448.5054201729672
1.2600000000000007,0.0618438691593,-0.107330355219,11.7401419578,6.21116128442,6.27762546277,0.0,0.135628120288,-0.362102062982,2.61589114922,-0.0841149090005,0.0687750022898,0.0,445.2320383981687,447.0742962713524,447.60589203415896,447.8264480315393
